dm2    sintheta    -2ln(L)
1.66909 0.00032704 366.743
1.75244 0.00032704 366.488
1.83996 0.00032704 366.227
1.93184 0.00032704 365.977
2.02832 0.00032704 365.753
2.12961 0.00032704 365.575
2.23596 0.00032704 365.459
2.34762 0.00032704 365.416
2.46486 0.00032704 365.453
2.58795 0.00032704 365.571
2.71719 0.00032704 365.764
2.85289 0.00032704 366.021
2.99535 0.00032704 366.328
3.14494 0.00032704 366.66
3.30199 0.00032704 366.992
3.46689 0.00032704 367.302
3.64003 0.00032704 367.582
3.8218 0.00032704 367.838
4.01266 0.00032704 368.096
4.21305 0.00032704 368.388
4.42344 0.00032704 368.742
4.64435 0.00032704 369.162
4.87628 0.00032704 369.601
5.11979 0.00032704 369.972
5.37547 0.00032704 370.187
5.64392 0.00032704 370.184
5.92577 0.00032704 369.931
6.22169 0.00032704 369.444
6.5324 0.00032704 368.798
6.85862 0.00032704 368.112
7.20113 0.00032704 367.472
7.56075 0.00032704 366.912
7.93832 0.00032704 366.508
8.33475 0.00032704 366.331
8.75098 0.00032704 366.434
9.188 0.00032704 366.927
9.64683 0.00032704 367.778
10.1286 0.00032704 368.64
10.6344 0.00032704 369.195
11.1655 0.00032704 369.263
11.7231 0.00032704 368.815
12.3085 0.00032704 368.229
12.9232 0.00032704 367.528
13.5685 0.00032704 367.172
14.2461 0.00032704 367.25
14.9576 0.00032704 367.612
15.7045 0.00032704 368.043
16.4888 0.00032704 368.314
17.3122 0.00032704 368.249
18.1768 0.00032704 367.947
19.0845 0.00032704 367.765
20.0376 0.00032704 367.701
21.0382 0.00032704 367.707
22.0889 0.00032704 367.845
23.1919 0.00032704 368.09
24.3501 0.00032704 368.074
25.5661 0.00032704 367.845
26.8429 0.00032704 367.736
28.1834 0.00032704 367.838
29.5908 0.00032704 367.916
31.0686 0.00032704 367.994
32.6201 0.00032704 367.839
34.2491 0.00032704 367.871
35.9595 0.00032704 367.743
37.7553 0.00032704 367.93
39.6407 0.00032704 367.987
41.6203 0.00032704 367.671
43.6988 0.00032704 368.031
45.8811 0.00032704 367.808
48.1723 0.00032704 367.837
50.578 0.00032704 367.929
53.1038 0.00032704 367.789
55.7557 0.00032704 367.926
58.5401 0.00032704 367.824
61.4635 0.00032704 367.886
64.533 0.00032704 367.837
67.7557 0.00032704 367.842
71.1393 0.00032704 367.972
74.6919 0.00032704 367.738
78.422 0.00032704 367.887
82.3383 0.00032704 367.834
86.4502 0.00032704 367.873
90.7674 0.00032704 367.852
95.3002 0.00032704 367.957
100 0.00032704 367.935
0.01 0.000341381 373.404
0.0105056 0.000341381 373.404
0.0110303 0.000341381 373.404
0.0115811 0.000341381 373.404
0.0121594 0.000341381 373.404
0.0127667 0.000341381 373.404
0.0134042 0.000341381 373.403
0.0140736 0.000341381 373.403
0.0147764 0.000341381 373.403
0.0155144 0.000341381 373.402
0.0162891 0.000341381 373.402
0.0171026 0.000341381 373.402
0.0179567 0.000341381 373.401
0.0188534 0.000341381 373.401
0.0197949 0.000341381 373.4
0.0207835 0.000341381 373.4
0.0218214 0.000341381 373.399
0.0229111 0.000341381 373.398
0.0240553 0.000341381 373.397
0.0252566 0.000341381 373.397
0.0265178 0.000341381 373.396
0.0278421 0.000341381 373.395
0.0292325 0.000341381 373.394
0.0306924 0.000341381 373.392
0.0322251 0.000341381 373.391
0.0338344 0.000341381 373.389
0.035524 0.000341381 373.388
0.0372981 0.000341381 373.386
0.0391607 0.000341381 373.384
0.0411163 0.000341381 373.382
0.0431696 0.000341381 373.379
0.0453255 0.000341381 373.376
0.047589 0.000341381 373.373
0.0499655 0.000341381 373.37
0.0524608 0.000341381 373.366
0.0550806 0.000341381 373.362
0.0578312 0.000341381 373.358
0.0607193 0.000341381 373.353
0.0637515 0.000341381 373.347
0.0669352 0.000341381 373.342
0.0702779 0.000341381 373.335
0.0737875 0.000341381 373.328
0.0774723 0.000341381 373.32
0.0813412 0.000341381 373.311
0.0854033 0.000341381 373.302
0.0896683 0.000341381 373.291
0.0941462 0.000341381 373.279
0.0988478 0.000341381 373.266
0.103784 0.000341381 373.252
0.108967 0.000341381 373.237
0.114409 0.000341381 373.22
0.120122 0.000341381 373.201
0.126121 0.000341381 373.181
0.132419 0.000341381 373.158
0.139032 0.000341381 373.133
0.145975 0.000341381 373.106
0.153265 0.000341381 373.076
0.160919 0.000341381 373.044
0.168955 0.000341381 373.008
0.177392 0.000341381 372.968
0.186251 0.000341381 372.926
0.195552 0.000341381 372.879
0.205318 0.000341381 372.827
0.215571 0.000341381 372.771
0.226337 0.000341381 372.71
0.23764 0.000341381 372.644
0.249507 0.000341381 372.571
0.261967 0.000341381 372.493
0.27505 0.000341381 372.408
0.288785 0.000341381 372.315
0.303207 0.000341381 372.216
0.318349 0.000341381 372.108
0.334247 0.000341381 371.992
0.350939 0.000341381 371.868
0.368464 0.000341381 371.735
0.386865 0.000341381 371.593
0.406185 0.000341381 371.442
0.426469 0.000341381 371.282
0.447766 0.000341381 371.114
0.470127 0.000341381 370.937
0.493605 0.000341381 370.751
0.518255 0.000341381 370.559
0.544136 0.000341381 370.361
0.57131 0.000341381 370.157
0.59984 0.000341381 369.95
0.629796 0.000341381 369.742
0.661247 0.000341381 369.533
0.694269 0.000341381 369.328
0.72894 0.000341381 369.127
0.765342 0.000341381 368.933
0.803563 0.000341381 368.748
0.843692 0.000341381 368.575
0.885825 0.000341381 368.415
0.930062 0.000341381 368.269
0.976508 0.000341381 368.136
1.02527 0.000341381 368.016
1.07647 0.000341381 367.906
1.13023 0.000341381 367.803
1.18668 0.000341381 367.701
1.24594 0.000341381 367.595
1.30816 0.000341381 367.477
1.37349 0.000341381 367.342
1.44208 0.000341381 367.182
1.51409 0.000341381 366.994
1.5897 0.000341381 366.778
1.66909 0.000341381 366.535
1.75244 0.000341381 366.274
1.83996 0.000341381 366.006
1.93184 0.000341381 365.747
2.02832 0.000341381 365.515
2.12961 0.000341381 365.329
2.23596 0.000341381 365.206
2.34762 0.000341381 365.157
2.46486 0.000341381 365.191
2.58795 0.000341381 365.306
2.71719 0.000341381 365.5
